network,station,channel
SS,09228,DPZ
SS,20247,DPZ
SS,10820,DP1
SS,10778,DP1
SS,15562,DPZ
SS,09309,DP2
SS,15729,DPZ
SS,14976,DP2
SS,17544,DP1
SS,09268,DP2
SS,14764,DP2
SS,09515,DPZ
SS,10691,DPZ
SS,06569,DP1
SS,16203,DP2
SS,15576,DP2
SS,14764,DP1
SS,19267,DPZ
SS,17809,DP2
SS,05322,DP1
SS,17853,DP2
SS,15350,DP2
SS,10830,DPZ
SS,14457,DP2
SS,15636,DP2
SS,15869,DPZ
SS,09228,DP1
SS,14976,DPZ
SS,10890,DPZ
SS,10913,DP2
SS,10586,DP1
SS,18340,DP1
SS,15249,DP2
SS,14625,DP1
SS,14837,DPZ
SS,09218,DPZ
SS,15604,DP1
SS,15672,DP2
SS,10935,DPZ
SS,10813,DPZ
SS,17018,DP1
SS,10867,DP1
SS,18895,DP2
SS,18839,DPZ
SS,15678,DP2
SS,10898,DP1
SS,10430,DP2
SS,09268,DP1
SS,03659,DPZ
SS,10368,DP1
SS,15288,DP1
SS,10230,DPZ
SS,17223,DPZ
SS,16507,DP2
SS,18839,DP1
SS,10252,DP1
SS,10230,DPZ
SS,17373,DPZ
SS,18539,DP1
SS,18308,DP2
SS,15248,DP1
SS,10740,DP2
SS,17875,DP1
SS,18895,DP2
SS,10359,DP2
SS,16006,DP2
SS,10205,DP2
SS,10485,DP1
SS,15248,DP1
SS,17223,DP2
SS,17875,DP1
SS,10505,DPZ
SS,10505,DPZ
SS,10740,DPZ
SS,15255,DP2
SS,19267,DP2
SS,17877,DPZ
SS,17878,DP2
SS,14972,DPZ
SS,14565,DPZ
SS,14972,DPZ
SS,10222,DP2
SS,10935,DP1
SS,15427,DP2
SS,10406,DP2
SS,14564,DP1
SS,07499,DP1
SS,15016,DP1
SS,17521,DPZ
SS,10916,DP2
SS,04973,DP1
SS,07111,DP2
SS,10845,DP1
SS,16694,DP2
SS,10857,DP1
SS,16507,DP2
SS,18272,DP2
SS,15562,DP1
SS,15636,DP2
SS,05441,DP2
SS,15562,DP1
SS,04275,DP1
SS,16878,DPZ
SS,20247,DP1
SS,10181,DP1
SS,10691,DP2
SS,17940,DP1
SS,14625,DPZ
SS,17018,DP2
SS,09501,DP1
SS,17456,DPZ
SS,10177,DP2
SS,14625,DP2
SS,08825,DP1
SS,14461,DP2
SS,09410,DP1
SS,10197,DP2
SS,04916,DP1
SS,09769,DP2
SS,16870,DP1
SS,18638,DP2
SS,10406,DP2
SS,17442,DP2
SS,16798,DPZ
SS,14479,DP2
SS,15367,DPZ
SS,18042,DP2
SS,14578,DP2
SS,10278,DP1
SS,14578,DP1
SS,10188,DP2
SS,10277,DP2
SS,10317,DP2
SS,16203,DPZ
SS,10524,DP1
SS,16793,DPZ
SS,14648,DP1
SS,09769,DP1
SS,10798,DP1
SS,18042,DP2
SS,09654,DP1
SS,16788,DP2
SS,15576,DP2
SS,10935,DPZ
SS,16788,DP2
SS,10776,DP1
SS,09914,DP2
SS,05179,DPZ
SS,18539,DPZ
SS,10277,DP1
SS,16878,DP1
SS,17223,DP2
SS,20247,DP2
SS,09629,DP1
SS,10915,DPZ
SS,10230,DPZ
SS,15678,DPZ
SS,14457,DPZ
SS,14764,DP1
SS,10181,DP2
SS,06585,DPZ
SS,07357,DPZ
SS,15249,DPZ
SS,14976,DP1
SS,15729,DP2
SS,09914,DP1
SS,10872,DP1
SS,10221,DPZ
SS,18895,DPZ
SS,04275,DPZ
SS,10890,DP2
SS,10421,DPZ
SS,10753,DP1
SS,10359,DP1
SS,10495,DP1
SS,10368,DP2
SS,18308,DP1
SS,09501,DPZ
SS,10817,DP1
SS,14605,DPZ
SS,14753,DP2
SS,15562,DP2
SS,10691,DP2
SS,10202,DP2
SS,17683,DPZ
SS,10230,DPZ
SS,10706,DP1
SS,15869,DP2
SS,17859,DPZ
SS,10202,DPZ
SS,05230,DPZ
SS,09332,DP2
SS,14457,DP1
SS,09548,DPZ
SS,09218,DP1
SS,05322,DP1
SS,10800,DP1
SS,15967,DP2
SS,10188,DP1
SS,14837,DP1
SS,10705,DP2
SS,06569,DP1
SS,10890,DP1
SS,10386,DP2
SS,09529,DP1
SS,16870,DPZ
SS,09410,DP2
SS,07499,DP1
SS,15157,DP2
SS,10359,DP2
SS,10591,DPZ
SS,04973,DP1
SS,14479,DP1
SS,15604,DP1
SS,16598,DP1
SS,10830,DP1
SS,10586,DP1
SS,05338,DP2
SS,10509,DP2
SS,14479,DP1
SS,18463,DP2
SS,10421,DP1
SS,08936,DP1
SS,16707,DP2
SS,18739,DP1
SS,09275,DP1
SS,09270,DPZ
SS,10586,DPZ
SS,10763,DPZ
SS,10893,DP1
SS,10399,DP1
SS,15672,DPZ
SS,18340,DPZ
SS,20193,DP1
SS,17016,DP1
SS,17877,DP2
SS,14712,DPZ
SS,10230,DPZ
SS,17373,DP1
SS,10872,DPZ
SS,09431,DP2
SS,10485,DP1
SS,17940,DP2
SS,15729,DP2
SS,15016,DP1
SS,05230,DP2
SS,16788,DP2
SS,10591,DP1
SS,10915,DP2
SS,10485,DP2
SS,15672,DPZ
SS,15350,DP2
SS,17442,DP1
SS,10454,DP2
SS,06585,DP1
SS,08936,DP1
SS,14768,DP1
SS,07111,DP2
SS,18531,DP1
SS,10913,DP2
SS,10898,DP2
SS,09270,DP1
SS,19267,DP2
SS,17442,DP2
SS,10817,DPZ
SS,10867,DP2
SS,19744,DP1
SS,17542,DPZ
SS,16798,DP2
SS,10485,DP2
SS,15672,DP2
SS,18352,DP1
SS,17877,DPZ
SS,15562,DPZ
SS,09501,DP2
SS,10800,DP2
SS,10222,DP2
SS,14753,DPZ
SS,10505,DP2
SS,09220,DP2
SS,10890,DP2
SS,14599,DP1
SS,17859,DP2
SS,17534,DP1
